20_clutch_bind,20_clutch_force,20_clutch_x,20_xs,20_r,20_fs,20_time,
1.0,0.0,0.0,0.0,20000.0,0.0,0.0,
0.72,1.2484340539649241,2.056,1.806313189207015,20009.999999999854,3.5865250749404938,1000.0,
0.76,1.243576333910586,2.0479999999999996,1.7992847332178825,20019.99999999971,3.392070614784399,2000.0,
0.9066666666666666,1.7050597390727176,2.808,2.4669880521854566,20029.999999999563,3.352930594556912,3000.0,
0.8133333333333334,1.2484340539649241,2.056,1.8063131892070154,20039.999999999418,3.1769238368325396,4000.0,
0.72,1.0541252517913953,1.7359999999999998,1.5251749496417208,20049.999999999272,3.3196147015512905,5000.0,
0.8533333333333334,1.394165655595071,2.296,2.0171668688809854,20059.999999999127,3.200034752641324,6000.0,
0.8533333333333334,1.1998568534215421,1.9759999999999998,1.7360286293156917,20069.99999999898,2.972954125094211,7000.0,
0.7866666666666666,0.9958326111393366,1.64,1.4408334777721328,20079.999999998836,2.966224505675653,8000.0,
0.7066666666666667,1.0589829718457333,1.7440000000000002,1.532203405630853,20089.99999999869,3.392141941280051,9000.0,
0.76,1.2970112545083063,2.1359999999999997,1.8765977490983388,20099.999999998545,3.4679937559216683,10000.0,
0.7866666666666666,1.4233119759211004,2.344,2.0593376048157803,20109.9999999984,3.5116643761609163,11000.0,
0.8,1.2338608938019096,2.0319999999999996,1.7852278212396178,20119.999999998254,3.2169894505759027,12000.0,
0.8266666666666667,1.170710533095513,1.928,1.6938578933808974,20129.99999999811,3.0374691932511912,13000.0,
0.84,1.1707105330955125,1.928,1.6938578933808974,20139.999999997963,2.9898903171678293,14000.0,
0.84,1.2727226542366155,2.0959999999999996,1.8414554691526768,20149.999999997817,3.1119682391611962,15000.0,
0.88,1.1901414133128656,1.9599999999999995,1.721971717337427,20159.99999999767,2.87727887875566,16000.0,
0.8,1.2532917740192626,2.064,1.8133416451961477,20169.999999997526,3.2446113841808786,17000.0,
0.8,1.2484340539649241,2.056,1.8063131892070154,20179.99999999738,3.2392059007796132,18000.0,
0.8533333333333334,1.1949991333672039,1.968,1.7290001733265588,20189.999999997235,2.9747614844054246,19000.0,
0.8133333333333334,1.2095722935302184,1.992,1.750085541293956,20199.99999999709,3.139634787117585,20000.0,
0.8,1.029836651519704,1.696,1.490032669696059,20209.999999996944,2.9679591477230587,21000.0,
0.8266666666666667,1.3067266946169829,2.152,1.8906546610766035,20219.9999999968,3.207811324123852,22000.0,
0.8666666666666667,1.525324097062203,2.5119999999999996,2.206935180587559,20229.999999996653,3.3126016504472275,23000.0,
0.88,1.6856288588553647,2.776,2.438874228228927,20239.999999996508,3.4451812789932776,24000.0,
0.88,1.3407307349973505,2.2079999999999997,1.9398538530005303,20249.999999996362,3.0538576533970403,25000.0,
0.8533333333333334,1.3407307349973503,2.208,1.9398538530005303,20259.999999996217,3.1499157050656885,26000.0,
0.8,1.2192877336388948,2.008,1.7641424532722212,20269.99999999607,3.2087730003719885,27000.0,
0.8533333333333334,1.3164421347256594,2.1679999999999997,1.9047115730548678,20279.999999995925,3.1227025016222827,28000.0,
0.7733333333333333,1.2581494940736009,2.0719999999999996,1.8203701011852798,20289.99999999578,3.3710519319813983,29000.0,
0.8133333333333334,1.156137372932498,1.9039999999999997,1.6727725254135002,20299.999999995634,3.0804934913006194,30000.0,
0.7733333333333333,1.1027024523347773,1.8159999999999998,1.5954595095330446,20309.99999999549,3.171422136629451,31000.0,
0.8,1.2387186138562478,2.0399999999999996,1.7922562772287507,20319.999999995343,3.236394933976965,32000.0,
